EnsemblID	GeneName	KO1_L	KO1_L_M	KO8_L	KO8_L_M	WT3_L	WT3_L_M	WT4_L	WT4_L_M	KO1_L_G	KO1_L_M_G	KO8_L_G	KO8_L_M_G	WT3_L_G	WT3_L_M_G	WT4_L_G	WT4_L_M_G
ENSMUSG00000068173.12	Btg1b	0	0	0	0	3	3	0	0	0	0	0	0	6	3	0	0
ENSMUSG00000068180.13	AY512915	0	0	0	0	11	0	6	3	15	12	6	5	116	16	34	19
ENSMUSG00000068181.1	Gm10234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068182.3	Olfr203	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000068184.7	Ndufaf2	1499	105	1675	115	1138	95	1284	119	6501	4357	4643	2613	4060	2540	6049	4331
ENSMUSG00000068196.5	Col8a1	157	12	135	18	10	0	43	0	264	105	177	59	172	6	56	8
ENSMUSG00000068200.6	Gm5931	42	30	55	32	49	37	70	49	42	30	55	32	49	37	70	49
ENSMUSG00000068205.14	Macrod2	251	55	296	42	189	20	214	44	1427	740	1159	527	3696	534	1593	895
ENSMUSG00000068206.13	Pick1	1184	519	984	451	742	336	994	508	6	0	3	1	0	0	6	6
ENSMUSG00000068218.6	Ssxb9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ENSMUSG00000068219.8	Ssxb10	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0
ENSMUSG00000068220.6	Lgals1	5542	238	5201	254	536	36	2384	168	5605	289	5255	302	558	55	2423	201
ENSMUSG00000068226.3	Gm6723	48	31	51	41	37	20	31	23	48	31	51	41	37	20	31	23
ENSMUSG00000068227.9	Il2rb	4	0	0	0	3	2	0	0	4	0	0	0	18	2	0	0
ENSMUSG00000068231.5	Vmn1r43	3	3	1	1	10	1	5	3	0	0	0	0	0	0	0	0
ENSMUSG00000068232.3	Vmn1r42	0	0	0	0	0	0	0	0	0	0	2	1	11	0	1	1
ENSMUSG00000068234.7	Vmn1r44	0	0	0	0	3	0	0	0	0	0	1	0	11	0	0	0
ENSMUSG00000068240.5	Gm11808	4142	112	4104	149	2171	51	3926	168	4142	112	4101	146	2171	51	3926	168
ENSMUSG00000068243.6	Gm7079	164	13	194	19	71	8	134	9	0	0	0	0	0	0	0	0
ENSMUSG00000068245.14	Phf11d	1871	404	1822	340	2670	370	1986	426	2435	828	2234	668	3189	787	2663	1030
ENSMUSG00000068246.6	Apol9b	4	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0
ENSMUSG00000068250.13	Amn1	767	637	553	454	348	257	614	539	996	838	787	651	528	368	902	795
ENSMUSG00000068252.6	Apol7b	7	1	1	0	2	0	1	0	30	18	15	14	64	12	18	15
ENSMUSG00000068259.4	Olfr461	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0
ENSMUSG00000068262.4	Gm5879	301	6	414	50	524	44	365	16	301	6	413	49	524	44	365	16
ENSMUSG00000068263.11	Efcc1	5	1	4	3	17	8	5	4	6	2	10	7	29	12	7	6
ENSMUSG00000068264.11	Ap5s1	82	68	93	56	64	26	75	44	104	87	101	64	79	35	95	62
ENSMUSG00000068267.5	Cenpb	2304	458	2456	524	1326	278	2450	623	0	0	0	0	0	0	0	0
ENSMUSG00000068270.15	Shroom4	2131	573	1326	304	1032	229	1328	356	5680	3673	2659	1484	2943	1588	3707	2504
ENSMUSG00000068284.14	Usf3	1580	348	1185	289	1167	200	1521	391	2125	815	1574	625	1591	497	2016	843
ENSMUSG00000068289.6	Cma2	1	1	0	0	0	0	0	0	28	22	34	30	42	5	28	26
ENSMUSG00000068290.11	Ddrgk1	1664	329	1719	358	1453	312	1424	367	1993	601	1964	581	1652	481	1711	637
ENSMUSG00000068299.11	Nat8f4	123	69	75	34	54	34	89	46	142	87	85	42	70	46	101	57
ENSMUSG00000068302.8	Noto	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0
ENSMUSG00000068303.6	Spr-ps1	25	12	15	8	7	5	7	2	25	12	15	8	7	5	7	2
ENSMUSG00000068314.5	Gm6899	0	0	2	2	0	0	0	0	0	0	2	2	0	0	0	0
ENSMUSG00000068323.12	Slc4a5	1493	266	931	122	513	93	694	132	2353	964	1285	422	969	425	1166	534
ENSMUSG00000068324.5	Gm10029	24	7	53	33	25	9	36	14	24	7	52	32	25	9	36	14
ENSMUSG00000068327.5	Tlx2	2	1	1	0	7	1	1	0	2	1	1	0	7	1	3	2
ENSMUSG00000068328.9	Aup1	1859	438	1429	440	1022	233	1612	454	1859	438	1428	439	1022	233	1612	454
ENSMUSG00000068329.12	Htra2	946	217	857	169	608	102	901	183	952	223	874	186	621	115	925	205
ENSMUSG00000068335.6	Dok1	287	142	216	95	86	40	164	95	289	144	222	98	86	40	165	96
ENSMUSG00000068341.8	Reg3d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068348.4	Gm10238	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000068349.12	Gml	9	0	2	0	0	0	0	0	9	0	2	0	1	0	0	0
ENSMUSG00000068373.15	D430041D05Rik	41	7	28	7	34	11	28	12	370	230	137	82	412	139	237	176
ENSMUSG00000068391.8	Chrac1	601	115	705	171	426	103	616	163	654	164	760	221	453	122	658	203
ENSMUSG00000068392.3	Rnase13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068394.4	Cep152	2020	1245	1910	1147	1912	1111	2268	1523	4048	3043	3422	2503	3075	2117	4297	3394
ENSMUSG00000068396.9	Rpl34-ps1	645	59	824	96	308	34	705	115	645	59	824	96	308	34	705	115
ENSMUSG00000068397.4	Gm10240	67	20	101	45	57	25	85	49	67	20	101	45	57	25	85	49
ENSMUSG00000068399.5	Gm7247	0	0	0	0	0	0	3	3	80	39	42	35	440	59	86	72
ENSMUSG00000068407.3	Rnase12	23	4	15	7	4	0	5	5	23	4	15	7	6	0	5	5
ENSMUSG00000068417.8	Pnp2	662	112	550	101	278	35	538	80	0	0	0	0	0	0	0	0
ENSMUSG00000068428.7	Gmnc	13	6	18	6	8	3	10	7	28	13	27	11	90	6	24	14
ENSMUSG00000068431.3	Olfr742	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ENSMUSG00000068437.4	Olfr725	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000068452.8	Duox2	0	0	9	1	3	0	2	2	0	0	10	2	13	0	2	2
ENSMUSG00000068457.14	Uty	1	1	0	0	4	3	0	0	8	8	11	9	13	10	6	6
ENSMUSG00000068463.4	B630019A10Rik	0	0	1	0	18	0	0	0	17	4	4	2	95	1	1	1
ENSMUSG00000068466.6	Gm5518	868	162	1114	215	545	182	859	159	868	162	1114	215	545	182	858	158
ENSMUSG00000068479.5	Mfap1a	964	274	1201	353	797	241	1067	344	1109	400	1342	474	924	354	1198	469
ENSMUSG00000068480.6	Gm7551	2	2	6	2	29	0	3	1	2	2	6	2	29	0	3	1
ENSMUSG00000068487.6	Ndufa11b	12	8	4	4	4	2	13	13	12	8	4	4	4	2	13	13
ENSMUSG00000068506.3	Gm5800	0	0	0	0	4	0	3	3	2	0	0	0	14	0	3	3
ENSMUSG00000068522.4	Aard	832	96	773	135	553	39	661	98	961	197	859	214	590	62	745	173
ENSMUSG00000068523.12	Gng5	2659	203	2739	292	1169	62	2086	210	2762	290	2809	353	1207	87	2162	281
ENSMUSG00000068535.2	Olfr169	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ENSMUSG00000068536.11	Doxl2	1	1	1	0	3	0	0	0	1	1	1	0	3	0	0	0
ENSMUSG00000068537.2	Gm10242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068547.7	Clca4a	1	0	2	0	5	0	0	0	2	1	4	0	19	0	6	1
ENSMUSG00000068551.12	Zfp467	54	39	47	21	21	3	48	33	91	67	81	40	41	12	71	51
ENSMUSG00000068566.12	Myadm	4356	996	2662	652	2161	507	3219	825	3	2	6	3	1	0	10	0
ENSMUSG00000068574.2	Olfr458	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ENSMUSG00000068579.5	Rpl7a-ps3	63	11	52	19	33	9	68	22	63	11	52	19	33	9	68	22
ENSMUSG00000068580.11	Zfyve19	472	109	446	121	314	61	434	120	538	163	508	170	362	90	507	181
ENSMUSG00000068587.10	Mgam	5	0	0	0	18	0	1	0	22	8	1	0	211	11	6	5
ENSMUSG00000068600.10	Gml2	0	0	0	0	2	0	0	0	9	8	4	4	38	2	2	2
ENSMUSG00000068601.2	Gm10244	26	10	34	17	13	8	39	21	28	10	44	17	15	8	43	21
ENSMUSG00000068604.4	Gm8225	697	20	760	34	798	12	694	23	697	20	760	34	798	12	693	22
ENSMUSG00000068606.6	Gm4841	1	1	0	0	0	0	0	0	1	1	0	0	5	0	0	0
ENSMUSG00000068614.7	Actc1	69	2	55	1	0	0	6	1	69	2	55	1	11	2	6	1
ENSMUSG00000068615.4	Gjd2	5	3	3	3	10	0	0	0	5	3	3	3	10	0	0	0
ENSMUSG00000068617.5	Efcab1	82	10	69	11	61	10	61	12	116	37	90	28	206	46	87	37
ENSMUSG00000068629.4	Gm6155	25	5	30	5	13	6	23	1	25	5	30	5	13	6	23	1
ENSMUSG00000068631.8	Gm7676	9	1	4	1	2	0	4	0	9	1	4	1	2	0	4	0
ENSMUSG00000068647.2	Olfr1278	1	0	0	0	11	0	0	0	1	0	0	0	14	0	0	0
ENSMUSG00000068663.14	Clec16a	1295	273	978	177	795	203	1210	321	4497	2707	2514	1365	2834	1695	4066	2640
ENSMUSG00000068674.3	Gm10247	19	0	19	6	11	7	14	7	19	0	19	6	11	7	14	7
ENSMUSG00000068680.1	Gm10248	0	0	0	0	0	0	0	0	4	0	3	0	64	2	0	0
ENSMUSG00000068686.12	Cd59b	25	8	19	5	20	1	14	6	156	107	130	84	122	47	160	104
ENSMUSG00000068689.8	Rps19-ps9	11	11	8	8	0	0	7	6	11	11	8	8	0	0	7	6
ENSMUSG00000068696.6	Gpr88	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0
ENSMUSG00000068697.7	Myoz1	5	4	3	3	6	3	3	0	8	7	4	4	11	3	7	4
ENSMUSG00000068699.12	Flnc	9533	1350	4317	593	946	144	2862	495	9990	1699	4519	763	1029	203	3025	622
ENSMUSG00000068706.3	Gm10250	1420	93	1580	139	1098	143	1199	120	1420	93	1580	139	1098	143	1199	120
ENSMUSG00000068732.5	Tmem167b	1550	416	1495	427	806	231	1152	343	1609	471	1539	467	846	269	1210	398
ENSMUSG00000068735.14	Trp53i11	798	164	876	177	583	117	1274	297	1140	409	1209	443	966	411	1818	732
ENSMUSG00000068739.13	Sars	9548	887	13206	1349	9376	466	11659	969	10200	1429	13784	1839	9661	717	12255	1509
ENSMUSG00000068740.13	Celsr2	659	175	565	159	323	71	633	144	695	193	619	206	362	96	679	179
ENSMUSG00000068742.11	Cry2	730	338	819	427	746	344	927	501	1223	758	1233	799	1145	685	1452	968
ENSMUSG00000068744.12	Psrc1	5652	1963	5330	1840	2969	1069	5288	2110	5863	2119	5551	2021	3126	1183	5493	2277
ENSMUSG00000068745.6	Mybphl	4	3	1	1	0	0	3	2	7	6	5	5	1	1	16	10
ENSMUSG00000068747.14	Sort1	1253	155	1596	167	416	32	1056	147	1644	475	1984	501	610	164	1492	556
ENSMUSG00000068748.7	Ptprz1	82	13	97	21	76	21	68	13	176	94	172	87	412	91	168	102
ENSMUSG00000068749.9	Psma5	5210	561	5885	617	3728	317	5054	589	6947	2042	7150	1740	4643	1128	6417	1850
ENSMUSG00000068758.8	Il3ra	144	21	109	16	74	9	99	28	193	52	134	32	121	34	147	66
ENSMUSG00000068762.11	Gstm6	131	7	145	13	17	0	53	7	134	10	149	17	19	0	54	8
ENSMUSG00000068776.7	4930469B13Rik	0	0	0	0	0	0	0	0	0	0	1	0	19	6	5	5
ENSMUSG00000068794.7	Col28a1	2	0	4	0	23	0	1	0	18	7	20	8	425	10	11	7
ENSMUSG00000068798.10	Rap1a	1357	175	1386	171	813	128	1016	183	3082	1713	2403	1090	1606	751	2261	1345
ENSMUSG00000068806.5	Olfr1259	1	0	0	0	0	0	0	0	3	2	0	0	13	1	0	0
ENSMUSG00000068808.2	Olfr1189	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ENSMUSG00000068809.4	Olfr1188	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000068810.5	Olfr1187-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068814.2	Olfr1145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068815.3	Olfr1143	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000068816.3	Olfr152	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	0
ENSMUSG00000068817.5	Olfr1140	0	0	1	0	3	0	0	0	0	0	1	0	3	0	0	0
ENSMUSG00000068818.5	Olfr1132	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0
ENSMUSG00000068819.3	Olfr1131	5	4	0	0	3	0	0	0	5	4	0	0	7	0	0	0
ENSMUSG00000068823.10	Csde1	31960	5268	35425	5419	24683	3755	31666	5336	34292	7359	37070	6939	26061	4983	33660	7181
ENSMUSG00000068824.4	Olfr1083-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068854.7	H2bc21	45	29	68	47	34	26	43	29	45	29	68	47	34	26	43	29
ENSMUSG00000068855.3	H2ac20	5748	1847	4793	1828	2017	786	4591	1830	5748	1847	4793	1828	2017	786	4591	1830
ENSMUSG00000068856.3	Sf3b4	2764	579	2700	581	1620	284	3038	693	2895	682	2871	726	1749	384	3214	842
ENSMUSG00000068859.5	Sp9	18	4	2	0	2	0	15	9	21	5	3	0	3	0	19	13
ENSMUSG00000068860.5	Gm128	62	15	50	11	33	7	75	29	68	20	62	22	46	19	84	36
ENSMUSG00000068874.13	Selenbp1	38	4	22	1	13	0	37	6	116	64	84	46	86	47	141	88
ENSMUSG00000068876.16	Cgn	3061	544	2966	469	1240	224	2259	462	3225	679	3095	579	1311	280	2399	596
ENSMUSG00000068877.12	Selenbp2	2	0	0	0	0	0	0	0	3	0	1	1	17	0	0	0
ENSMUSG00000068879.4	Gm5773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068882.13	Ssb	16971	2315	22745	3088	20374	2280	19297	2583	17945	3171	23561	3837	20879	2715	20048	3281
ENSMUSG00000068885.4	Lce3f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068887.4	Lce1j	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068888.3	Lce1i	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000068889.1	Lce1e	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000068890.8	Lce1a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068893.5	Sprr2a2	1	0	0	0	0	0	0	0	49	1	19	3	79	5	0	0
ENSMUSG00000068917.12	Clk2	2383	1271	2181	1159	1717	882	2305	1363	2936	1726	2650	1563	2114	1190	2756	1762
ENSMUSG00000068921.14	Dap3	3056	508	3172	368	2138	242	2887	507	4257	1506	4172	1297	2858	833	4047	1571
ENSMUSG00000068922.14	Msto1	3359	649	3739	685	2107	454	3295	701	3508	749	3891	818	2226	553	3456	826
ENSMUSG00000068923.14	Syt11	858	234	1436	462	552	151	1048	361	1112	438	1740	733	792	305	1369	656
ENSMUSG00000068940.7	Tcl1b3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068947.2	Olfr366	0	0	1	0	0	0	0	0	4	0	3	0	80	1	0	0
ENSMUSG00000068948.4	Olfr363-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000068950.3	Olfr338	0	0	0	0	6	0	1	1	2	0	0	0	22	0	1	1
ENSMUSG00000068957.1	4930589L23Rik	6	4	5	5	14	13	6	5	11	9	11	6	18	16	14	6
ENSMUSG00000068959.6	Zfp619	408	249	428	269	355	196	469	280	550	373	528	362	467	280	624	418
ENSMUSG00000068962.7	Zfp114	73	35	87	36	48	14	100	52	87	49	106	46	56	15	118	69
ENSMUSG00000068964.5	Gm6361	14	2	24	7	9	3	17	6	0	0	0	0	0	0	0	0
ENSMUSG00000068966.10	Zbtb34	1305	551	883	426	1350	459	1422	705	1795	985	1183	699	1717	785	1999	1234
ENSMUSG00000068969.3	Rpl32-ps	12	7	21	8	20	7	10	5	12	7	21	8	20	7	10	5
ENSMUSG00000068999.13	Vmn2r5	0	0	0	0	8	0	0	0	1	0	0	0	45	2	2	0
ENSMUSG00000069008.3	Gm5537	2	0	4	0	0	0	3	2	2	0	4	0	0	0	3	2
ENSMUSG00000069011.5	Gm10254	242	112	347	180	189	95	327	137	242	112	347	180	189	95	327	137
ENSMUSG00000069014.4	Gm5641	69	26	42	23	54	20	77	45	69	26	42	23	54	20	77	45
ENSMUSG00000069020.9	Urm1	1354	432	1684	539	867	323	1481	613	1922	908	2122	910	1398	770	2066	1131
ENSMUSG00000069036.3	Sry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069038.2	H2al1j	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069041.8	Slc25a31	65	6	62	14	38	12	35	11	79	14	76	27	68	17	53	25
ENSMUSG00000069044.6	Usp9y	0	0	0	0	0	0	0	0	1	1	5	5	0	0	8	6
ENSMUSG00000069045.11	Ddx3y	0	0	0	0	0	0	0	0	159	13	121	21	197	32	116	16
ENSMUSG00000069049.11	Eif2s3y	0	0	0	0	2	2	0	0	0	0	2	2	2	2	0	0
ENSMUSG00000069053.11	Uba1y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069072.9	Slc7a14	17	1	10	1	2	1	6	3	57	27	49	28	136	14	60	51
ENSMUSG00000069074.2	Gm10258	4	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069080.5	Lcn11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069083.4	Gm10259	531	455	771	674	502	427	704	624	531	455	771	674	502	427	704	624
ENSMUSG00000069085.5	Dytn	0	0	0	0	8	0	0	0	12	8	8	6	136	1	0	0
ENSMUSG00000069089.8	Cdk7	2844	800	3263	781	2209	548	3123	929	4511	2192	4467	1807	3657	1806	5011	2662
ENSMUSG00000069094.12	Pde7a	3313	1201	3664	1232	1622	529	2552	976	6488	3925	5966	3316	3059	1677	5275	3433
ENSMUSG00000069114.8	Zbtb10	3100	1244	2155	839	1219	457	1622	692	4063	2105	2632	1278	1470	635	2068	1096
ENSMUSG00000069117.4	Rps18-ps6	388	80	451	84	313	37	390	81	386	80	451	84	313	37	390	81
ENSMUSG00000069118.3	1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ENSMUSG00000069125.2	Rps24-ps2	4	0	18	1	12	2	5	1	4	0	18	1	12	2	5	1
ENSMUSG00000069132.3	Nxph2	0	0	0	0	5	0	0	0	8	0	9	3	204	1	2	1
ENSMUSG00000069135.11	Fgfr1op	2734	1028	3765	1272	1926	777	2860	1245	5526	3351	6232	3415	3803	2346	5779	3809
ENSMUSG00000069136.4	A130006I12Rik	2	2	1	1	0	0	1	1	2	2	1	1	0	0	1	1
ENSMUSG00000069170.14	Adgrv1	1679	440	1639	460	790	181	1434	405	3176	1584	2796	1368	2260	799	2861	1561
ENSMUSG00000069171.14	Nr2f1	11	3	0	0	6	0	0	0	14	6	0	0	9	0	0	0
ENSMUSG00000069184.4	Zfp72	246	122	322	199	266	131	313	192	384	239	453	314	365	207	454	320
ENSMUSG00000069188.5	Gm13192	146	22	163	28	58	9	176	41	146	22	163	28	58	9	176	41
ENSMUSG00000069189.5	Zdhhc11	2	0	0	0	1	0	2	2	4	0	2	0	55	0	2	2
ENSMUSG00000069196.6	Gm10161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069206.14	Zfp874a	1075	491	1048	540	938	358	1161	603	1292	676	1232	698	1185	518	1399	818
ENSMUSG00000069208.9	Zfp825	448	181	448	208	279	123	360	173	859	510	736	453	512	322	765	539
ENSMUSG00000069223.10	4930451E10Rik	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ENSMUSG00000069227.4	Gprin1	18	11	27	10	19	1	14	3	20	13	40	22	25	3	19	8
ENSMUSG00000069236.5	Gm7251	9	4	13	7	6	0	15	8	9	4	13	7	6	0	15	8
ENSMUSG00000069237.8	Fam8a1	1117	368	999	305	673	190	910	354	1214	461	1064	364	725	236	985	428
ENSMUSG00000069248.11	Serpinb6e	0	0	1	1	0	0	1	1	2	2	3	1	16	0	6	6
ENSMUSG00000069255.13	Dusp22	206	51	141	28	43	6	97	27	394	199	246	117	118	47	220	141
ENSMUSG00000069258.10	Prl2b1	0	0	0	0	9	0	0	0	0	0	0	0	23	0	0	0
ENSMUSG00000069259.10	Prl6a1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000069265.2	H3c1	5222	1827	4841	1803	1307	452	4032	1710	5222	1827	4841	1803	1307	452	4032	1710
ENSMUSG00000069266.5	H4c2	6996	1988	7519	2272	2097	667	6884	2356	6996	1988	7519	2272	2097	667	6884	2356
ENSMUSG00000069267.2	H3c2	7488	2654	5763	1865	3483	1292	4167	1608	7488	2654	5763	1865	3483	1292	4166	1607
ENSMUSG00000069268.4	H2bc7	3031	988	3186	1111	858	305	2782	1145	3031	988	3185	1110	858	305	2782	1145
ENSMUSG00000069270.6	H2ac6	1721	402	1850	465	716	184	1640	461	1721	402	1850	465	716	184	1640	461
ENSMUSG00000069272.6	H2ac8	828	342	1164	461	274	142	688	343	826	340	1164	461	274	142	688	343
ENSMUSG00000069273.2	H3c6	8638	3281	8463	3394	3106	1109	6783	2915	8638	3281	8463	3394	3106	1109	6777	2909
ENSMUSG00000069274.3	H4c6	6772	2359	6703	2361	2757	1176	6174	2370	6772	2359	6702	2361	2757	1176	6174	2370
ENSMUSG00000069280.2	Vmn1r223	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000069289.2	Vmn1r203	0	0	0	0	20	0	1	0	1	1	0	0	30	0	1	0
ENSMUSG00000069292.4	Vmn1r199	0	0	8	1	12	3	3	3	0	0	9	2	16	6	5	5
ENSMUSG00000069294.2	Vmn1r197	0	0	0	0	8	0	0	0	0	0	0	0	12	0	0	0
ENSMUSG00000069295.2	Vmn1r196	1	0	0	0	6	0	0	0	1	0	0	0	7	0	0	0
ENSMUSG00000069296.4	Vmn1r195	0	0	0	0	6	0	0	0	0	0	0	0	24	0	0	0
ENSMUSG00000069297.1	Vmn1r194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069299.2	Vmn1r188	0	0	1	0	10	0	1	0	0	0	1	0	19	0	1	0
ENSMUSG00000069300.3	H2bc11	6954	2573	5835	2213	2483	922	5798	2426	6954	2573	5835	2213	2483	922	5798	2426
ENSMUSG00000069301.5	H2ac11	1028	306	1235	386	300	65	1005	323	1028	306	1235	386	300	65	1005	323
ENSMUSG00000069302.5	H2ac12	842	340	900	367	334	115	871	403	842	340	900	367	334	115	871	403
ENSMUSG00000069303.7	Hist1h2br	381	329	445	398	144	120	441	399	382	330	447	400	146	122	453	411
ENSMUSG00000069305.3	Hist1h4n	1505	890	1693	1050	315	210	1357	867	1505	890	1693	1050	315	210	1357	867
ENSMUSG00000069306.5	Hist1h4m	1742	826	1796	1002	364	194	1534	934	1742	826	1796	1002	364	194	1534	934
ENSMUSG00000069307.7	Hist1h2bq	1225	837	1178	755	416	344	1279	965	1225	837	1183	760	416	344	1287	973
ENSMUSG00000069308.7	Hist1h2bp	371	109	309	148	98	43	285	163	389	123	318	154	104	44	306	169
ENSMUSG00000069309.2	Hist1h2an	2086	747	2139	805	978	377	1653	657	2086	747	2139	805	978	377	1653	657
ENSMUSG00000069310.4	H3c3	5120	1817	5139	2013	1813	825	4433	2034	5120	1817	5139	2013	1813	825	4433	2034
ENSMUSG00000069315.2	Gm7731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069324.6	Gm5096	1	0	0	0	3	0	0	0	1	0	0	0	3	0	0	0
ENSMUSG00000069355.12	Gm5152	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
ENSMUSG00000069372.3	Ctxn3	2	0	11	0	23	4	12	1	4	2	13	2	41	4	24	11
ENSMUSG00000069376.2	Gm5507	9	4	20	15	3	1	8	3	9	4	20	15	3	1	8	3
ENSMUSG00000069378.14	Prdm6	7	5	1	0	2	0	6	6	61	44	19	11	150	12	37	28
ENSMUSG00000069379.3	Gm4950	955	45	989	40	568	18	780	37	955	45	989	40	568	18	776	33
ENSMUSG00000069385.10	Gm10267	0	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0
ENSMUSG00000069390.5	Olfr707	1	0	0	0	0	0	0	0	1	0	1	0	31	0	0	0
ENSMUSG00000069421.4	Olfr810	0	0	0	0	12	0	1	1	0	0	0	0	12	0	1	1
ENSMUSG00000069430.3	Olfr9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069439.3	Gm8444	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000069441.3	Dsg1a	0	0	0	0	5	0	0	0	1	0	0	0	38	0	0	0
ENSMUSG00000069456.4	Rdh16	4	2	3	1	9	8	6	5	5	2	13	7	30	9	19	16
ENSMUSG00000069475.1	Gm6020	20	5	28	7	8	3	7	0	20	5	28	7	8	3	7	0
ENSMUSG00000069476.13	Zfp616	0	0	0	0	3	0	0	0	1	0	0	0	15	0	2	0
ENSMUSG00000069495.12	Epc2	4873	2414	5661	2750	3870	1736	4947	2488	8326	5482	8004	4927	5864	3506	8183	5526
ENSMUSG00000069515.6	Lyz1	2	2	0	0	5	0	0	0	2	2	2	2	10	0	0	0
ENSMUSG00000069516.8	Lyz2	1	0	0	0	0	0	0	0	1	0	0	0	2	0	2	0
ENSMUSG00000069518.5	Gm10271	0	0	0	0	0	0	0	0	2	0	4	1	15	0	0	0
ENSMUSG00000069520.6	Tmem19	659	133	598	142	438	71	565	157	962	396	935	436	686	267	991	544
ENSMUSG00000069539.11	Scyl2	2165	676	2534	630	1503	389	2192	601	2746	1167	2959	1001	1812	623	2677	1046
ENSMUSG00000069540.4	Gm4925	13	5	19	16	6	0	14	13	13	5	19	16	6	0	14	13
ENSMUSG00000069554.4	I830134H01Rik	9	5	13	11	8	3	25	21	9	5	13	11	8	3	25	21
ENSMUSG00000069565.12	Dazap1	7124	590	9304	703	5030	399	8052	859	8394	1606	10409	1640	6140	1325	9546	2193
ENSMUSG00000069581.12	Tspear	22	5	24	7	10	4	23	6	63	26	79	47	182	25	58	32
ENSMUSG00000069582.3	Krtap10-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069583.2	Krtap12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069584.4	Gm10272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069588.3	Gm11733	0	0	0	0	3	0	1	1	0	0	1	1	3	0	1	1
ENSMUSG00000069601.14	Ank3	750	135	1105	180	552	109	878	230	1786	851	1775	681	2231	737	2257	1295
